seq,timestamp_ms,ax,ay,az,gx,gy,gz
320,139074,3348,5670,-4735,-15,16,-11
321,139084,3338,5644,-4730,-9,15,-9
322,139094,3320,5654,-4733,-13,14,-11
323,139104,3304,5684,-4714,-15,15,-8
324,139114,3301,5674,-4713,-6,15,-3
325,139124,3320,5663,-4749,5,13,4
326,139134,3347,5678,-4793,4,8,5
327,139144,3349,5662,-4797,-6,8,3
328,139155,3354,5672,-4758,-13,7,5
329,139178,3337,5649,-4651,3,2,12
330,139199,3333,5704,-4748,26,1,14
331,139211,3351,5709,-4799,23,2,17
332,139228,3393,5695,-4764,-11,4,15
333,139238,3373,5710,-4711,-11,7,12
334,139247,3364,5689,-4684,-5,8,11
335,139259,3356,5691,-4679,-1,7,9
336,139268,3368,5693,-4691,7,5,7
337,139288,3341,5713,-4761,2,7,6
338,139300,3340,5703,-4745,-7,7,5
339,139318,3334,5678,-4718,-12,8,10
340,139335,3387,5661,-4710,3,5,9
341,139345,3378,5657,-4736,7,6,8
342,139356,3380,5677,-4756,8,8,6
343,139365,3380,5683,-4775,2,8,4
344,139377,3383,5697,-4758,-11,11,5
345,139386,3373,5672,-4714,-17,12,8
346,139398,3377,5661,-4688,-12,10,11
347,139407,3376,5668,-4705,-6,9,10
348,139419,3362,5660,-4710,2,7,10
349,139428,3355,5690,-4719,6,5,11
350,139440,3328,5677,-4758,7,8,12
351,139453,3356,5685,-4741,1,10,12
352,139479,3378,5675,-4730,-3,9,11
353,139492,3391,5703,-4730,-1,6,8
354,139506,3379,5684,-4725,3,4,9
355,139516,3383,5681,-4742,2,3,9
356,139525,3387,5668,-4725,0,2,7
357,139537,3394,5663,-4705,0,2,8
358,139546,3377,5672,-4705,-1,5,9
359,139559,3355,5697,-4726,2,3,6
360,139571,3361,5720,-4754,2,4,4
361,139589,3380,5678,-4734,-5,3,7
362,139620,3396,5697,-4720,-8,3,-2
363,139640,3384,5679,-4706,-4,4,-1
364,139653,3355,5682,-4732,-4,4,-1
365,139668,3355,5699,-4750,-9,5,-2
366,139678,3369,5684,-4741,-13,5,0
367,139688,3410,5687,-4733,-9,3,2
368,139698,3444,5709,-4741,-3,1,0
369,139712,3428,5710,-4746,-4,3,-4
370,139723,3401,5708,-4758,-11,1,-7
371,139740,3353,5718,-4693,-17,1,-12
372,139770,3348,5677,-4705,-17,3,-10
373,139797,3386,5718,-4746,0,4,-12
374,139808,3390,5675,-4743,-3,6,-10
